NAPS ID // Identifiant SNPA,City // Ville,Latitude // Latitude,Longitude // Longitude,CSDUID,Year,Month,Quarter,Average of Daily Averages,Sum of Observations,Number of Observations,Average of Observations
90120,Calgary,51.0309,-114.0091,4806016,2017,1,1,7.155978305,5220,726,7.190082645
90120,Calgary,51.0309,-114.0091,4806016,2017,2,1,6.578571429,4394,668,6.577844311
90120,Calgary,51.0309,-114.0091,4806016,2017,3,1,7.690860215,5696,741,7.686909582
90120,Calgary,51.0309,-114.0091,4806016,2017,4,2,4.412870945,3156,715,4.413986014
90120,Calgary,51.0309,-114.0091,4806016,2017,5,2,6.290322581,4612,737,6.2578019
90120,Calgary,51.0309,-114.0091,4806016,2017,6,2,5.695402001,4064,712,5.707865169
90120,Calgary,51.0309,-114.0091,4806016,2017,7,3,12.70257989,9007,716,12.57960894
90120,Calgary,51.0309,-114.0091,4806016,2017,8,3,12.25733138,9084,740,12.27567568
90120,Calgary,51.0309,-114.0091,4806016,2017,9,3,8.049116162,5788,718,8.061281337
90120,Calgary,51.0309,-114.0091,4806016,2017,10,4,3.830767351,2844,742,3.832884097
90120,Calgary,51.0309,-114.0091,4806016,2017,11,4,10.44055556,7427,714,10.40196078
90120,Calgary,51.0309,-114.0091,4806016,2017,12,4,4.9635928,3682,743,4.955585464
90121,Edmonton,53.54823,-113.36811,4811061,2017,1,1,8.045087977,5980,742,8.059299191
90121,Edmonton,53.54823,-113.36811,4811061,2017,2,1,7.364971532,4935,671,7.354694486
90121,Edmonton,53.54823,-113.36811,4811061,2017,3,1,8.037615116,5899,737,8.004070556
90121,Edmonton,53.54823,-113.36811,4811061,2017,4,2,5.61065685,3894,689,5.651669086
90121,Edmonton,53.54823,-113.36811,4811061,2017,5,2,7.315451145,5439,743,7.320323015
90121,Edmonton,53.54823,-113.36811,4811061,2017,6,2,5.789772727,4159,718,5.792479109
90121,Edmonton,53.54823,-113.36811,4811061,2017,7,3,12.72621375,9394,736,12.76358696
90121,Edmonton,53.54823,-113.36811,4811061,2017,8,3,12.37327189,9185,741,12.39541161
90121,Edmonton,53.54823,-113.36811,4811061,2017,9,3,9.80719697,7046,718,9.813370474
